Имя груза;Код товара;Товар;Тип товара;Статус;ПО;УП;Заказ;Документ клиента;Ячейка;Реальная ячейка;Упак.;Вн.упак.;Вид упаковки;К-во коробок;Кол-во;Дата произв-ва;Срок годн.;Объем (м3);Вес;Фактический вес;Категория;Маркер;Серийный номер;Товарная партия
B25123767;M6044;M6044 Баннер XPEL ULTIMATE PLUS WALL BANNER (3 X6 ) (Арт. M6044);Не задан;Отобран;262688;313020;827483;ЦБ-00000342;C911326;ОТГРУЖЕНО;Шт-1ед-19x97x3;Не задано;Не задан;0;1;16.04.2021 00:00;;        ,0100;       1,0000;       1,0000;Норма;-;-;-,0102676174457
P6443820;XPHPB0540-100;"XPHPB0540-100 Самоклеющаяся защитная пленка XPEL PRIME High Performance Black 5% 40"" x 100";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889925;S5-15-10-4;Кор-1ед-15x107x13;Шт-1ед-15x107x13;B120;6;6;16.04.2021 00:00;;        ,1300;      30,0000;      30,0000;Норма;-;-;-,0102676174457
P6443832;XPCSB7040-100;"XPCSB7040-100 Самоклеющаяся защитная пленка XPEL PRIME Color Stable Black 70% 40"" x 100";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C913363;S5-17-03-3;Кор-1ед-15x107x13;Шт-1ед-14x100x12;B120;3;3;16.04.2021 00:00;;        ,0600;      15,0000;      15,0000;Норма;-;-;-,0102676174457
P6443750;XPCSB3540-100;"XPCSB3540-100 Самоклеющаяся защитная пленка XPEL PRIME Color Stable Black 35% 40"" x 100";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889925;S5-15-10-4;Кор-1ед-15x107x13;Шт-1ед-15x107x13;B120;7;7;16.04.2021 00:00;;        ,1500;      35,0000;      35,0000;Норма;-;-;-,0102676174457
P6443748;XPXRB7040-100;"XPXRB7040-100 Самоклеющаяся защитная пленка XPEL PRIME XR Black Nano-Ceramic 70% 40"" x 100";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889927;S5-17-05-5;Кор-1ед-16x108x13;Шт-1ед-16x108x13;B120;2;2;16.04.2021 00:00;;        ,0400;      10,0000;      10,0000;Норма;-;-;-,0102676174457
B25131134;XPXRPL0540-100;"XPXRPL0540-100 Самоклеющаяся защитная пленка XPEL PRIME XR PLUS 5% 40"" x 100";Не задан;Отобран;262688;313020;834390;ЦБ-00000342;C893139;ОТГРУЖЕНО;Кор-1ед-15x110x13;Шт-1ед-15x110x13;B120;2;2;16.04.2021 00:00;;        ,0400;      10,0000;      10,0000;Норма;-;-;-,0102676174457
B25131131;XPXRPL1540-100;"XPXRPL1540-100 Самоклеющаяся защитная пленка XPEL PRIME XR PLUS 15% 40"" x 100";Не задан;Отобран;262688;313020;834390;ЦБ-00000342;C893139;ОТГРУЖЕНО;Кор-1ед-15x110x13;Шт-1ед-15x110x13;B120;2;2;16.04.2021 00:00;;        ,0400;      10,0000;      10,0000;Норма;-;-;-,0102676174457
P6443745;XPXRPL1540-100;"XPXRPL1540-100 Самоклеющаяся защитная пленка XPEL PRIME XR PLUS 15% 40"" x 100";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889927;S5-17-05-5;Кор-1ед-15x110x13;Шт-1ед-15x110x13;B120;2;2;16.04.2021 00:00;;        ,0400;      10,0000;      10,0000;Норма;-;-;-,0102676174457
P6443797;M6004;M6004 Настенный информационный дисплей Wall Board Display XR Black;Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889909;S5-16-12-6;Шт-1ед-68x98x5;Не задано;Не задан;0;1;16.04.2021 00:00;;        ,0300;       2,5000;       2,5000;Норма;-;-;-,0102676174457
P6443788;M5001S;M5001S Модель капота для демонстрации работы с пленкой (комплект из капота, пленки, щетки) Mini Hood;Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889909;S5-16-12-6;Шт-1ед-42x42x5;Не задано;Не задан;0;1;16.04.2021 00:00;;        ,0100;        ,9000;        ,9000;Норма;-;-;-,0102676174457
B25123765;M4032;M4032 Баннер настенный PRIME Generic Wall Banner (90x180);Не задан;Отобран;262688;313020;827483;ЦБ-00000342;C911326;ОТГРУЖЕНО;Шт-1ед-19x96x19;Не задано;Не задан;0;1;16.04.2021 00:00;;        ,0300;       2,6000;       2,6000;Норма;-;-;-,0102676174457
P6443810;R1340-20;R1340-20 Гель для нанесения пленки XPEL Paint Protection Film Installation Gel 20 Liter;Не задан;Отобран;262688;313020;825591;ЦБ-00000342;C911018;ОТГРУЖЕНО;Шт-1ед-20x26x43;Не задано;Не задан;0;4;16.04.2021 00:00;;        ,0900;      80,0000;      80,0000;Норма;-;-;-,0102676174457
P6443817;XPHPB2060-100;"XPHPB2060-100 Самоклеющаяся защитная пленка XPEL PRIME High Performance Black 20% 60"" x 100";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889910;S5-23-23-3;Кор-1ед-13x157x15;Шт-1ед-13x157x15;B240;2;2;16.04.2021 00:00;;        ,0600;      14,2000;      14,2000;Норма;-;-;-,0102676174457
B25131132;XPXRPL7040-100;"XPXRPL7040-100 Самоклеющаяся защитная пленка XPEL PRIME XR PLUS 70% 40"" x 100";Не задан;Отобран;262688;313020;834390;ЦБ-00000342;C893139;ОТГРУЖЕНО;Кор-1ед-15x110x13;Шт-1ед-15x110x13;B120;2;2;16.04.2021 00:00;;        ,0400;      10,0000;      10,0000;Норма;-;-;-,0102676174457
P6443746;XHF30S5-50;"XHF30S5-50 Самоклеющаяся защитная пленка XPEL Slate 50 Headlight Film 30""x50";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889926;S5-17-16-6;Кор-1ед-19x82x19;Шт-1ед-19x82x19;B90;3;3;16.04.2021 00:00;;        ,0900;      13,8000;      13,8000;Норма;-;-;-,0102676174457
P6443826;XPXRPL3540-100;"XPXRPL3540-100 Самоклеющаяся защитная пленка XPEL PRIME XR PLUS 35% 40"" x 100";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889925;S5-15-10-4;Кор-1ед-15x108x14;Шт-1ед-15x108x14;B120;3;3;16.04.2021 00:00;;        ,0700;      15,0000;      15,0000;Норма;-;-;-,0102676174457
P6443808;M6003;M6003 Настенный информационный дисплей Wall Board Display HP Black;Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889909;S5-16-12-6;Шт-1ед-68x98x5;Не задано;Не задан;0;1;16.04.2021 00:00;;        ,0300;       2,5000;       2,5000;Норма;-;-;-,0102676174457
P6443798;M6004;M6004 Настенный информационный дисплей Wall Board Display XR Black;Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889909;S5-16-12-6;Шт-1ед-68x98x5;Не задано;Не задан;0;1;16.04.2021 00:00;;        ,0300;       2,5000;       2,5000;Норма;-;-;-,0102676174457
P6443789;M5001S;M5001S Модель капота для демонстрации работы с пленкой (комплект из капота, пленки, щетки) Mini Hood;Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889909;S5-16-12-6;Шт-1ед-42x42x5;Не задано;Не задан;0;1;16.04.2021 00:00;;        ,0100;        ,9000;        ,9000;Норма;-;-;-,0102676174457
P6443785;M4032;M4032 Баннер настенный PRIME Generic Wall Banner (90x180);Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889925;S5-15-10-4;Шт-1ед-19x96x19;Не задано;Не задан;0;3;16.04.2021 00:00;;        ,1000;       7,8000;       7,8000;Норма;-;-;-,0102676174457
B25115836;R1340-20;R1340-20 Гель для нанесения пленки XPEL Paint Protection Film Installation Gel 20 Liter;Не задан;Отобран;262688;313020;821086;ЦБ-00000342;C907372;ОТГРУЖЕНО;Шт-1ед-20x26x43;Не задано;Не задан;0;2;16.04.2021 00:00;;        ,0400;      40,0000;      40,0000;Норма;-;-;-,0102676174457
P6443830;XPHPB2040-100;"XPHPB2040-100 Самоклеющаяся защитная пленка XPEL PRIME High Performance Black 20% 40"" x 100";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C913363;S5-17-03-3;Кор-1ед-15x107x13;Шт-1ед-15x107x13;B120;2;2;16.04.2021 00:00;;        ,0400;      10,0000;      10,0000;Норма;-;-;-,0102676174457
P6443829;XPCSB2040-100;"XPCSB2040-100 Самоклеющаяся защитная пленка XPEL PRIME Color Stable Black 20% 40"" x 100";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C913363;S5-17-03-3;Кор-1ед-15x107x13;Шт-1ед-15x107x13;B120;6;6;16.04.2021 00:00;;        ,1300;      30,0000;      30,0000;Норма;-;-;-,0102676174457
P6443816;XPHPB3560-100;"XPHPB3560-100 Самоклеющаяся защитная пленка XPEL PRIME High Performance Black 35% 60"" x 100";Не задан;Доступен;262688;313020;0;ЦБ-00000342;C889910;S5-23-23-3;Кор-1ед-13x157x15;Шт-1ед-15x107x13;B240;2;2;16.04.2021 00:00;;        ,0600;      14,2000;      14,2000;Норма;-;-;-,0102676174457
